event_date,team_code,team_name,club,age,team_rank,opponent_code,opponent_name,pool_key,team_won,point_margin_for_team,set_margin_for_team,team_rating,opponent_rating,rating_gap,expected_win_prob,performance_above_expected,is_close_match,rolling_win_rate,rolling_point_margin,rolling_set_margin,rolling_opponent_rating,rolling_expected_win_prob,rolling_performance_above_expected,rolling_close_match_win_rate,match_index
2026-01-17,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14RRJVB1NE,Boston United Boys 14-1,B14,False,-7.0,-1.0,-11.522727272727305,12.977272727272686,-24.499999999999993,0.24305786742805088,-0.24305786742805088,False,0.0,-12.0,-1.6,-8.672727272727244,0.47235977370772864,-0.47235977370772864,0.0,7
2026-01-17,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,False,-1.0,-1.0,-11.522727272727305,-22.022727272727153,10.499999999999847,0.6193644888199767,-0.6193644888199767,False,0.0,-10.4,-1.4,-10.272727272727222,0.4904432992162039,-0.4904432992162039,,8
2026-01-17,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,True,10.0,2.0,-11.522727272727305,-4.575157606275895,-6.94756966645141,0.42015509177807625,0.5798449082219237,True,0.2,-6.4,-0.6,-6.783213339436971,0.45060141980782376,-0.2506014198078238,1.0,9
2026-01-17,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14117752XX,ValleyVBC Elite Boys,B14,False,-14.0,-2.0,-11.522727272727305,10.47727272727267,-21.999999999999975,0.26501372898019826,-0.26501372898019826,False,0.2,-4.2,-0.6,-5.033213339436969,0.43339113316525574,-0.23339113316525578,1.0,10
2026-01-18,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14MVPVA1NE,MVP BOS 14 Black,B14,True,12.0,2.0,-11.522727272727305,-6.534967352925783,-4.987759919801523,0.44243966915856614,0.5575603308414339,True,0.4,0.0,0.0,-1.9356613554766953,0.39800616923297366,0.0019938307670263277,1.0,11
2026-01-19,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14117752XX,ValleyVBC Elite Boys,B14,False,-4.0,-2.0,-11.522727272727305,10.47727272727267,-21.999999999999975,0.26501372898019826,-0.26501372898019826,False,0.4,0.6,-0.2,-2.435661355476698,0.4023973415434032,-0.002397341543403142,1.0,12
2026-01-19,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14RRJVB1NE,Boston United Boys 14-1,B14,False,-14.0,-1.0,-11.522727272727305,12.977272727272686,-24.499999999999993,0.24305786742805088,-0.24305786742805088,False,0.4,-2.0,-0.2,4.56433864452327,0.32713601726501795,0.07286398273498203,1.0,13
2026-02-06,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14ROCVC1GE,Rockland VBC 14 1,B14,True,21.0,2.0,-11.522727272727305,-15.592490558657936,4.06976328593063,0.5470360117571131,0.45296398824288686,True,0.4,0.2,-0.2,2.3608720540468613,0.3525122012608254,0.04748779873917466,1.0,14
2026-02-06,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14LIFRY1GE,LI Fury 14 1,B14,False,0.0,-1.0,-11.522727272727305,-12.981216866299041,1.458489593571736,0.5168999434720273,-0.5168999434720273,True,0.4,3.0,0.0,-2.3308258646674807,0.4028894441591911,-0.0028894441591911456,0.6666666666666666,15
2026-02-06,B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,1,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,False,-31.0,-2.0,-11.522727272727305,27.127429440534108,-38.65015671326141,0.14281727196693791,-0.14281727196693791,False,0.2,-5.6,-0.8,4.401653494024497,0.34296496472086546,-0.1429649647208655,0.5,16
