team_code,team_name,club,age,opponent_code,opponent_name,pool_key,meetings_count,first_meeting_date,latest_meeting_date,first_result,latest_result,winner_changed,first_point_margin,latest_point_margin,point_margin_shift,point_margin_slope,performance_slope,win_rate
B14HKJVB1NE,Husky 14.1,HKJVB,14,B14SJJVB1NE,SMASH Boys 14-1,B14,2,2026-02-01,2026-03-14,L,L,False,-28.0,-40.0,-12.0,-12.0,0.0,0.0
B14LCVBC1GE,Legacy Boys 14 Premier,LCVBC,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,1,2026-02-07,2026-02-07,L,L,False,-3.0,-3.0,0.0,0.0,0.0,0.0
B14LCVBC1GE,Legacy Boys 14 Premier,LCVBC,14,B14CORE11GE,CORE Boys 14 Platinum,B14,1,2026-02-06,2026-02-06,L,L,False,-21.0,-21.0,0.0,0.0,0.0,0.0
B14LCVBC1GE,Legacy Boys 14 Premier,LCVBC,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,1,2026-02-06,2026-02-06,L,L,False,-22.0,-22.0,0.0,0.0,0.0,0.0
B14LCVBC1GE,Legacy Boys 14 Premier,LCVBC,14,B14LIFRY1GE,LI Fury 14 1,B14,1,2026-02-07,2026-02-07,L,L,False,-13.0,-13.0,0.0,0.0,0.0,0.0
B14LCVBC1GE,Legacy Boys 14 Premier,LCVBC,14,B14ROCVC1GE,Rockland VBC 14 1,B14,1,2026-02-08,2026-02-08,W,W,False,15.0,15.0,0.0,0.0,0.0,1.0
B14LCVBC1GE,Legacy Boys 14 Premier,LCVBC,14,B14SPTMC2GE,Sportime 14 2,B14,1,2026-02-06,2026-02-06,L,L,False,-12.0,-12.0,0.0,0.0,0.0,0.0
B14LCVBC1GE,Legacy Boys 14 Premier,LCVBC,14,B14SPTMC3GE,Sportime 14 3,B14,1,2026-02-08,2026-02-08,W,W,False,12.0,12.0,0.0,0.0,0.0,1.0
B14LCVBC1GE,Legacy Boys 14 Premier,LCVBC,14,B14TACCU1GE,Accuracy 14 Champ,B14,1,2026-02-07,2026-02-07,L,L,False,-32.0,-32.0,0.0,0.0,0.0,0.0
B14LHVBC1NE,LHV Boys 14-1 Premier,LHVBC,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,2,2026-01-17,2026-02-08,L,W,True,-10.0,6.0,16.0,16.0,1.0,0.5
B14LHVBC1NE,LHV Boys 14-1 Premier,LHVBC,14,B14RRJVB1NE,Boston United Boys 14-1,B14,3,2025-11-22,2026-01-17,W,L,True,17.0,-24.0,-41.0,-20.5,-0.5,0.3333333333333333
B14LHVBC1NE,LHV Boys 14-1 Premier,LHVBC,14,B14CAPIT2XL,CSVC 14 SAWTEETH,B14,2,2026-01-18,2026-01-19,W,W,False,10.0,10.0,0.0,0.0,0.0,1.0
