team_code,team_name,club,age,repeat_matchups_count,repeat_meetings_total,winner_change_rate,favorable_change_rate,avg_margin_slope,avg_performance_slope,h2h_raw_score,insufficient_h2h_samples,h2h_z_score
B17SJJVB2NE,SMASH Boys 17 Chaos,SJJVB,17,2,4,0.0,0.0,1.0,0.0,0.026710327036495785,False,0.014759657044624563
B17BVJVB1NE,Blast 17 Ignite,BVJVB,17,5,12,0.4,0.2,-0.8,0.02,0.0021131906510719403,False,-0.032711063161884005
B16MVPVA2NE,MVP BOS 16 Blue,MVPVA,16,1,2,0.0,0.0,0.0,0.0,0.0,False,-0.03678937051312071
B16RRJVB3NE,Boston United Boys 16 Select 1,RRJVB,16,5,10,0.4,0.2,-0.6,0.0,-0.016026196221897458,False,-0.06771878704776785
B18NESVC2NE,NE Storm 18 Squall,NESVC,18,4,8,0.0,0.0,-0.75,0.0,-0.02003274527737184,False,-0.07545114118142966
B14HKJVB1NE,Husky 14.1,HKJVB,14,2,4,0.0,0.0,-1.0,0.0,-0.026710327036495785,False,-0.08833839807086598
B16CAPIT1XL,CSVC 16 WOLFJAW,CAPIT,16,2,4,0.0,0.0,-1.0,0.0,-0.026710327036495788,False,-0.08833839807086598
B18VENGE1OV,18 - Lusher,VENGE,18,1,2,0.0,0.0,-1.0,0.0,-0.026710327036495788,False,-0.08833839807086598
B17RRJVB2NE,Boston United Boys 17 Northeast,RRJVB,17,3,8,0.6666666666666666,0.3333333333333333,5.033333333333333,0.26666666666666666,-0.03231381757236828,False,-0.09915273544901108
B16HKJVB1NE,Husky 16.1,HKJVB,16,4,8,0.0,0.0,-1.75,0.0,-0.04674307231386763,False,-0.12700016873917497
B15RRJVB2NE,Boston United Boys 15 Select 1,RRJVB,15,4,8,0.5,0.25,-2.0,0.0,-0.053420654072991534,False,-0.13988742562861117
B16HKJVB2NE,Husky 16.2,HKJVB,16,2,4,0.0,0.0,-2.0,0.0,-0.053420654072991576,False,-0.13988742562861128
B18LCVBC1GE,Legacy Boys 18 National,LCVBC,18,1,2,0.0,0.0,-2.0,0.0,-0.053420654072991576,False,-0.13988742562861128
B18MVNER1NE,Meraki VB 18 1,MVNER,18,1,2,0.0,0.0,-2.0,0.0,-0.053420654072991576,False,-0.13988742562861128
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,5,12,0.0,0.0,-2.4,0.0,-0.05564651465936622,False,-0.14418317792509003
B15RRJVB1NE,Boston United Boys 15 National,RRJVB,15,5,14,0.4,0.2,-4.26,-0.1,-0.05709047171676169,False,-0.1469699121362502
B18SJVBC1NE,South County Juniors Boys 18's Blue,SJVBC,18,2,5,0.0,0.0,-1.9999999999999998,0.0,-0.06410478488758987,False,-0.16050703665170934
B16118971XX,Supreme 16-1,11897,16,3,6,0.0,0.0,-2.6666666666666665,0.0,-0.07122753876398877,False,-0.17425344400044143
B17MVPVA2NE,MVP BOS 17 Blue,MVPVA,17,5,10,0.2,0.0,3.2,-0.2,-0.07391642442614096,False,-0.1794428016937606
B17NESVC2NE,NE Storm 17 Landslide,NESVC,17,6,14,0.5,0.16666666666666666,-1.8500000000000003,-0.3,-0.0801215394684545,False,-0.19141823149206097
B16SAVBC1XL,Sporting Albany Boys 16u,SAVBC,16,2,4,0.0,0.0,-3.0,0.0,-0.08013098110948737,False,-0.19143645318635655
B17XTREM1GE,Xtreme 17 National Braulio,XTREM,17,2,4,0.0,0.0,-3.0,0.0,-0.08013098110948737,False,-0.19143645318635655
B18UNVBC1NE,Unity 18 Boys National Vikings,UNVBC,18,1,2,0.0,0.0,-3.0,0.0,-0.08013098110948737,False,-0.19143645318635655
B18PVJVB4NE,PV Boys 18 4,PVJVB,18,3,7,0.0,0.0,-4.166666666666667,0.0,-0.08967038362252157,False,-0.20984682017126555
B16MVPVA1NE,MVP BOS 16 Black,MVPVA,16,4,9,0.0,0.0,-3.875,0.0,-0.09051833051256906,False,-0.21148329723659082
B16MCJVB1NE,Mill City 16's,MCJVB,16,6,13,0.0,0.0,-3.25,0.0,-0.09554078516900416,False,-0.22117627677736343
B14SJJVB1NE,SMASH Boys 14-1,SJJVB,14,6,13,0.16666666666666666,0.0,1.4166666666666667,-0.16666666666666666,-0.09897891911612108,False,-0.2278116302623652
B15MCJVB1NE,Mill City 15's,MCJVB,15,4,10,0.0,0.0,-5.3,0.0,-0.10363606890160368,False,-0.2367995974371724
B15DIGSV1GE,Digs Boys 15 Red,DIGSV,15,1,2,0.0,0.0,-4.0,0.0,-0.10684130814598315,False,-0.2429854807441018
B17NYCIV1GE,NYC Impact 17U National,NYCIV,17,1,2,0.0,0.0,-4.0,0.0,-0.10684130814598315,False,-0.2429854807441018
B14LHVBC1NE,LHV Boys 14-1 Premier,LHVBC,14,6,18,0.3333333333333333,0.16666666666666666,-2.6166666666666667,0.08333333333333333,-0.10962585235297773,False,-0.24835945261146214
B17CAPIT1XL,CSVC 17 BIG SLIDE,CAPIT,17,6,12,0.0,0.0,-4.166666666666667,0.0,-0.11129302931873244,False,-0.25157698533705936
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,7,15,0.14285714285714285,0.0,-0.6428571428571429,-0.14285714285714285,-0.11427274540623378,False,-0.25732762502406087
B17MVNER2NE,Meraki VB 17 2,MVNER,17,4,10,0.0,0.0,-6.0,0.025,-0.11498961017929513,False,-0.2587111229457159
B17TTVBC1NE,SLAM 17 1 Boys,TTVBC,17,6,13,0.16666666666666666,0.0,-0.4166666666666667,-0.16666666666666666,-0.1154160434462723,False,-0.25953410875943916
B14SJJVB2NE,SMASH Boys 14's Thunder,SJJVB,14,4,10,0.0,0.0,-5.125,0.0,-0.12954508612700458,False,-0.28680215416818533
B15NYCIV1GE,NYC Impact 15 National,NYCIV,15,1,2,0.0,0.0,-5.0,0.0,-0.13355163518247895,False,-0.29453450830184713
B17HKJVB1NE,Husky 17.1,HKJVB,17,1,2,0.0,0.0,-5.0,0.0,-0.13355163518247895,False,-0.29453450830184713
B17NYCVA1GE,NYC VBA 17 Downtown,NYCVA,17,1,2,0.0,0.0,-5.0,0.0,-0.13355163518247895,False,-0.29453450830184713
B17SPTMC6GE,Sportime 17 Lynbrook 2,SPTMC,17,1,2,0.0,0.0,-5.0,0.0,-0.13355163518247895,False,-0.29453450830184713
B17MVPVA1NE,MVP BOS 17 Black,MVPVA,17,5,10,0.6,0.2,0.4,-0.2,-0.14870534012832914,False,-0.3237800788554473
B18BVJVB1NE,Blast 18 Fire,BVJVB,18,5,10,0.6,0.2,0.4,-0.2,-0.14870534012832928,False,-0.32378007885544763
B17NEVBC1NE,NEVBC Boys 17.1,NEVBC,17,1,2,0.0,0.0,-7.0,0.0,-0.18697228925547052,False,-0.39763256341733766
B14RRJVB2NE,Boston United Boys 13 Select 1,RRJVB,14,3,6,0.0,0.0,-7.333333333333333,0.0,-0.19587573160096913,False,-0.4148155726032528
B18NESVC3NE,NE Storm 18 Tornado,NESVC,18,3,8,0.3333333333333333,0.0,4.5,-0.16666666666666666,-0.19682120685753604,False,-0.41664027246519536
B17ALLIN1FL,AVA 17 Boys,ALLIN,17,2,4,0.0,0.0,-7.5,0.0,-0.20032745277371844,False,-0.4234070771962103
B17TTVBC2NE,SLAM 17 2 Boys,TTVBC,17,5,11,0.2,0.0,-3.0,-0.2,-0.20560480775833365,False,-0.43359199620383715
B17LHVBC1NE,LHV Boys 17-1 Ubuntu,LHVBC,17,2,4,0.0,0.0,-8.5,0.0,-0.2270377798102142,False,-0.47495610475395555
B17CSJVB1NE,MEVBC/CT STARS 17 1,CSJVB,17,1,3,0.0,0.0,-8.5,0.0,-0.22703777981021422,False,-0.47495610475395555
