pool_key,team_code,team_name,local_rank,local_rating,wins,losses,matches_played,local_accuracy_pct,usav_national_accuracy_pct,usav_regional_accuracy_pct,local_picks_made,usav_national_picks_made,usav_regional_picks_made,event_name,model,local_edge_vs_usav_national_pp,local_edge_vs_usav_regional_pp,recommended_seed_source
B16,B16LCVBC1GE,Legacy Boys 16 National,27,-1.5811036024883616,1,7,8,,,,,,,,,,,
B16,B16ALLIN1FL,AVA 16 Boys,28,-3.178067176989803,4,4,8,,,,,,,,,,,
B16,B16SJVBC1NE,South County Juniors Boys 16's Blue,29,-3.25759212304758,3,14,17,,,,,,,,,,,
B16,B16TTVBC1NE,SLAM 16 1 Boys,30,-3.5169299399193026,6,16,22,,,,,,,,,,,
B16,B16NESVC2NE,NE Storm 16 Monsoon,31,-5.688575990325532,7,5,12,,,,,,,,,,,
B16,B16BVJVB1NE,Blast 16 Inferno,32,-5.9092173637141485,5,17,22,,,,,,,,,,,
B16,B16JHEAT1GE,CJ HEAT 16-1 Boys,33,-6.764820996552624,2,3,5,,,,,,,,,,,
B16,B16RRJVB3NE,Boston United Boys 16 Select 1,34,-7.246719920988442,10,10,20,,,,,,,,,,,
B16,B16SPTMC4GE,Sportime 16 4,35,-8.612172422338162,1,6,7,,,,,,,,,,,
B16,B16PVJVB1NE,PV Boys 16 1,36,-8.842336914611254,7,11,18,,,,,,,,,,,
B16,B16LIFRY2GE,LI Fury 16 2,37,-9.893044074832396,2,6,8,,,,,,,,,,,
B16,B16HKJVB2NE,Husky 16.2,38,-10.514891211254433,5,5,10,,,,,,,,,,,
B16,B16MVNER1NE,Meraki VB 16 1,39,-10.953719540849201,2,5,7,,,,,,,,,,,
B16,B16LHVBC2NE,LHV Boys 16-2 Hunters,40,-12.6113611521746,5,9,14,,,,,,,,,,,
B16,B16MVPVA2NE,MVP BOS 16 Blue,41,-16.343717136381915,1,16,17,,,,,,,,,,,
B16,B16NEVBC3NE,NEVBC Boys 16 Blue,42,-16.47112551192497,4,6,10,,,,,,,,,,,
B16,B16PVJVB2NE,PV Boys 16 2,43,-17.462390819821923,7,7,14,,,,,,,,,,,
B16,B16MCJVB2NE,Mill City 16 Royal,44,-19.066001246371854,2,18,20,,,,,,,,,,,
B16,B16BVJVB2NE,Blast 16 Pyro,45,-19.28889064985656,5,15,20,,,,,,,,,,,
B16,B16NEVBC4NE,NEVBC Boys 16 Orange,46,-21.966293461363595,3,7,10,,,,,,,,,,,
B17,B17SJJVB1NE,SMASH Boys 17-1,1,24.240906272986315,6,0,6,,,,,,,,,,,
B17,B17SYRVB1XL,SVC 17 1 Boys,2,19.054499331905443,8,0,8,,,,,,,,,,,
B17,B17CAPIT1XL,CSVC 17 BIG SLIDE,3,17.36420307767579,15,1,16,,,,,,,,,,,
B17,B17SJJVB2NE,SMASH Boys 17 Chaos,4,16.427573121681004,6,2,8,,,,,,,,,,,
B17,B17HKJVB1NE,Husky 17.1,5,16.040982892489506,9,2,11,,,,,,,,,,,
B17,B17ALLIN1FL,AVA 17 Boys,6,14.569140556144466,6,2,8,,,,,,,,,,,
B17,B17NYCIV1GE,NYC Impact 17U National,7,13.464773086375585,6,1,7,,,,,,,,,,,
B17,B17CORE11GE,CORE Boys 17 Platinum,8,13.022069804612135,5,2,7,,,,,,,,,,,
B17,B17SJJVB3NE,SMASH Boys 17's Shock,9,10.738312927103218,6,1,7,,,,,,,,,,,
B17,B17LCVBC1GE,Legacy Boys 17 National,10,8.275165056722107,5,3,8,,,,,,,,,,,
B17,B17RRJVB1NE,Boston United Boys 17 National 1,11,8.068353365172484,13,7,20,,,,,,,,,,,
B17,B17NEVBC1NE,NEVBC Boys 17.1,12,7.946988275644682,3,4,7,,,,,,,,,,,
B17,B17TTVBC1NE,SLAM 17 1 Boys,13,6.906616664045971,13,10,23,,,,,,,,,,,
B17,B17SJVBC1NE,South County Juniors Boys 17 1,14,6.474834117474747,8,9,17,,,,,,,,,,,
B17,B17NESVC1NE,NE Storm 17 Tsunami,15,5.657609235304976,19,7,26,,,,,,,,,,,
B17,B17NEVBC2NE,NEVBC Boys 17.2,16,4.854720631336387,5,5,10,,,,,,,,,,,
