team_code,team_name,club,age,opponent_code,opponent_name,pool_key,event_date,Event,matchup_meeting_number,team_won,point_margin_for_team,set_margin_for_team,expected_win_prob,performance_above_expected
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,2026-02-06,,1,False,-31.0,-2.0,0.14281727196694086,-0.14281727196694086
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14HKJVB1NE,Husky 14.1,B14,2026-03-14,,1,True,0.0,1.0,0.48261944556535025,0.5173805544346497
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14LCVBC1GE,Legacy Boys 14 Premier,B14,2026-02-07,,1,True,3.0,1.0,0.5246735104795165,0.4753264895204835
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-01-17,,1,True,10.0,2.0,0.4201550917780823,0.5798449082219177
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-02-08,,2,False,-6.0,-1.0,0.4201550917780823,-0.4201550917780823
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14LIFRY1GE,LI Fury 14 1,B14,2026-02-06,,1,False,0.0,-1.0,0.5168999434720334,-0.5168999434720334
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-01-18,,1,True,12.0,2.0,0.44243966915857225,0.5575603308414278
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14ROCVC1GE,Rockland VBC 14 1,B14,2026-02-06,,1,True,21.0,2.0,0.5470360117571187,0.4529639882428813
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14RRJVB1NE,Boston United Boys 14-1,B14,2026-01-17,,1,False,-7.0,-1.0,0.2430578674280493,-0.2430578674280493
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14RRJVB1NE,Boston United Boys 14-1,B14,2026-01-19,,2,False,-14.0,-1.0,0.2430578674280493,-0.2430578674280493
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14SAVBC1XL,Sporting Albany Boys 14u,B14,2025-12-21,,1,False,-25.0,-2.0,0.3510651621930374,-0.3510651621930374
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14SAVBC1XL,Sporting Albany Boys 14u,B14,2026-03-15,,2,False,-15.0,-2.0,0.3510651621930374,-0.3510651621930374
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14SJJVB1NE,SMASH Boys 14-1,B14,2025-12-20,,1,False,-22.0,-2.0,0.16164726542048555,-0.16164726542048555
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14SJJVB1NE,SMASH Boys 14-1,B14,2026-03-14,,2,False,-33.0,-3.0,0.16164726542048555,-0.16164726542048555
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,2025-12-20,,1,False,-9.0,-2.0,0.5289468612775988,-0.5289468612775988
B14CAPIT1XL,CSVC 14 CASCADE,CAPIT,14,B14TACCU1GE,Accuracy 14 Champ,B14,2026-02-07,,1,False,-14.0,-2.0,0.242943514309161,-0.242943514309161
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B13SJJVB1NE,SMASH Boys 13-1,MIXED,2025-12-20,,1,False,-24.0,-2.0,0.27739881282806866,-0.27739881282806866
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14117752XX,ValleyVBC Elite Boys,B14,2026-01-17,,1,False,-17.0,-2.0,0.18139542014521798,-0.18139542014521798
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,2025-12-20,,1,True,10.0,2.0,0.3806355111800194,0.6193644888199805
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,2025-12-21,,2,True,9.0,1.0,0.3806355111800194,0.6193644888199805
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,2026-01-17,,3,True,1.0,1.0,0.3806355111800194,0.6193644888199805
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14HKJVB1NE,Husky 14.1,B14,2026-03-15,,1,False,1.0,-1.0,0.3643803938744476,-0.3643803938744476
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-01-18,,1,False,-10.0,-2.0,0.3081060949741371,-0.3081060949741371
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14LHVBC1NE,LHV Boys 14-1 Premier,B14,2026-01-19,,2,False,-10.0,-1.0,0.3081060949741371,-0.3081060949741371
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-01-17,,1,False,-8.0,-2.0,0.3278074848754742,-0.3278074848754742
B14CAPIT2XL,CSVC 14 SAWTEETH,CAPIT,14,B14MVPVA1NE,MVP BOS 14 Black,B14,2026-01-19,,2,False,-18.0,-2.0,0.3278074848754742,-0.3278074848754742
