team_code,team_name,club,age,gender,checkpoint_match_count,window_start_match,window_end_match,rolling_massey_rating,step_delta,step_direction,expanding_massey_rating,expanding_step_delta,expanding_step_direction
G12CMJVB2NE,CMASS EDGE 12 Gray,CMJVB,12,G,13,9,13,-18.059144466238212,-1.4589751131325137,down,-13.545670398007363,-0.4545143822850033,down
G12CMJVB2NE,CMASS EDGE 12 Gray,CMJVB,12,G,14,10,14,-18.664180585460393,-0.6050361192221807,down,-13.969568154371611,-0.42389775636424787,down
G12CMJVB2NE,CMASS EDGE 12 Gray,CMJVB,12,G,15,11,15,-18.96596076946197,-0.3017801840015757,down,-14.315854696398652,-0.3462865420270411,down
G12CMJVB2NE,CMASS EDGE 12 Gray,CMJVB,12,G,16,12,16,-19.119776459526697,-0.15381569006472873,down,-14.628931402120937,-0.31307670572228474,down
G12CSJVB1NE,CT STARS 12-1,CSJVB,12,G,5,1,5,-21.350595238084026,0.0,start,-21.350595238084026,0.0,start
G12CSJVB1NE,CT STARS 12-1,CSJVB,12,G,6,2,6,-24.171428571426013,-2.8208333333419873,down,-21.47619047618836,-0.12559523810433504,down
G12CSJVB1NE,CT STARS 12-1,CSJVB,12,G,7,3,7,-23.80776520881672,0.36366336260929444,up,-22.076975149154784,-0.600784672966423,down
G12CSJVB1NE,CT STARS 12-1,CSJVB,12,G,8,4,8,-22.442055193100675,1.3657100157160436,up,-21.907236876640276,0.16973827251450757,up
G12CSJVB1NE,CT STARS 12-1,CSJVB,12,G,9,5,9,-21.05203751186497,1.3900176812357046,up,-21.26072189811835,0.6465149785219246,up
G12CSJVB1NE,CT STARS 12-1,CSJVB,12,G,10,6,10,-20.41771566327248,0.6343218485924886,up,-20.884155450678254,0.3765664474400978,up
G12CSJVB1NE,CT STARS 12-1,CSJVB,12,G,11,7,11,-19.56580771503345,0.851907948239031,up,-20.6078346756634,0.2763207750148524,up
G12CSJVB1NE,CT STARS 12-1,CSJVB,12,G,12,8,12,-18.158104627578663,1.407703087454788,up,-20.444112431831403,0.16372224383199807,up
G12EYNER1NE,ENVY 12 1 LavaFlow,EYNER,12,G,5,1,5,18.41866383857736,0.0,start,18.41866383857736,0.0,start
G12EYNER1NE,ENVY 12 1 LavaFlow,EYNER,12,G,6,2,6,19.043957545113763,0.6252937065364037,up,18.61996462092814,0.2013007823507813,up
G12EYNER1NE,ENVY 12 1 LavaFlow,EYNER,12,G,7,3,7,18.154215127621462,-0.8897424174923003,down,17.943486995920107,-0.6764776250080331,down
G12EYNER1NE,ENVY 12 1 LavaFlow,EYNER,12,G,8,4,8,15.064479424984757,-3.0897357026367054,down,17.165299640615494,-0.7781873553046132,down
G12EYNER1NE,ENVY 12 1 LavaFlow,EYNER,12,G,9,5,9,14.93761158492676,-0.12686784005799723,down,16.478673102739563,-0.6866265378759309,down
G12EYNER1NE,ENVY 12 1 LavaFlow,EYNER,12,G,10,6,10,13.147205021275397,-1.7904065636513629,down,15.782934429926376,-0.6957386728131869,down
