team_code,team_name
G12SJJVB2NE,SMASH 12s Energy
G12SJJVB3NE,SMASH 12's Volts
G12SSVBC1NE,SSVBC 12 1
G12SURGE1GE,LI Surge 12 1
G12TCJVB1NE,Nova 12 Select Brie/Ryleigh
G12TTVBC2NE,SLAM 12R Red
G12TTVBC3NE,SLAM 12R White
G12VERSE1GE,NYC Volley Verse 12 1
G13113231XX,EliteZ 13 GIRLS HP BLACK
G13113232XX,EliteZ 13 GIRLS CARBON
G131175910XX,Bucaneras AVC 13U
G13118021XX,NYCLBVC 13U BLUE
G13118022XX,NYCLBVC 13U WHITE
G13APXTC1OV,Apex VBTC 13 Apex Red
G13AVVBC1NE,Avidity 13 Ruby
G13AVVBC2NE,Avidity 13 Jade
G13BEVNY1GE,BEV 13 Empire
G13BVJVB1NE,Blast 13U Dragons
G13CACLI1GE,CALI 13 Black
G13CACLI2GE,CALI 13 BLUE
G13CACLI3GE,CALI 13 Red
G13CJJVB1NE,CT Juniors 13 National
G13CJVBA5GE,CJVA 13 Ruby
G13CMJVB1NE,CMASS EDGE 13 Blue
G13CMJVB2NE,CMASS EDGE 13 White
G13CSJVB1NE,CT STARS 13s Lidania
G13CSJVB2NE,CT STARS 13s Gabby
G13DRVBC1NE,Dragons 13 1 A/V
G13DSTJN1GE,Downstate (N) 13 Cobras
G13EYNER1NE,ENVY 13 HEATWAVE
G13EYNER2NE,ENVY 13 NOR'EASTER
G13FGSVA1FL,Gulfside 13U Prime
G13FVNER1NE,Fusion 13 Sparks
G13GAJVB1NE,Gators 13 Black
G13GAJVB2NE,Gators 13 Green
G13GGVOL1GE,GG 13 1
G13GREEN1GE,Asphalt Green VBC 13-Green
G13GRVBC1NE,GVC 13-1
G13GRVBC2NE,GVC 13-2
G13HEVBA1NE,HEVBA 13 1
G13HKJVB1NE,Husky 13 Red
G13HKJVB2NE,Husky 13 Black
G13LCVBC1GE,Legacy 13 National
G13LCVBC2GE,Legacy 13 Premier
G13LDNER1NE,Lockdown VBC 13 Kiwis
G13LDNER2NE,Lockdown VBC 13 Sparrows
G13LDNER3NE,Lockdown VBC 13 Robins
G13LEGIO1XL,TeamLVC 13 Black
G13LEGIO2XL,TeamLVC 13 Pink
G13LFJVB1NE,603 United 13 Seacoast White
G13LFJVB2NE,603 United 13 Seacoast Blue
G13LHVBA1GE,LHVA 13 Purple Travel
G13LHVBA2GE,LHVA 13 Black Travel
G13LHVBC1NE,LHV Girls 13-1 Wondercatz
G13LHVBC2NE,LHV Girls 13-2 Novas
G13LIBER1CH,Libero 13 HUSKIES
G13MAJVB1NE,Mass Premier 13 1
G13MAJVB2NE,Mass Premier 13 2
G13MAPVB3NE,Mass Power VB 13 Pink
G13MCJVB1NE,Mill City 13's
G13MGJVB3NE,MGA 13's Stars
G13MGJVB4NE,MGA 13's Stripes
G13MGJVB5NE,MGA 13's Black
G13MGJVB6NE,MGA 13's White
G13MNJVB1NE,Maine Jrs 13 Silver
G13NEVBC1NE,Northeast 13.1
G13NEVBC2NE,Northeast 13.2
G13NEVBC3NE,Northeast 13 Blue
G13NSJVB1NE,NH Seacoast 13 National
G13NYCJR1GE,NYC Juniors 13 National
G13NYCJR2GE,NYC Juniors 13 Travel
G13NYCLI1GE,NYCLI 13 Elite
G13NYCVA1GE,NYC VBA 13 Tribeca
G13NYCVA2GE,NYC VBA 13 West Village
G13PROVA1GE,Prodigy 13.1 Elite
G13PROVA2GE,Prodigy 13.2 Club
G13PROVA3GE,Prodigy 13.3 Club
G13ROCKA1GE,RVT 13-1 Surf
G13ROCKA2GE,RVT 13-2 Swim
G13ROCKA3GE,RVT 13-3 Sail
G13RRJVB1NE,Boston United 13 National
G13RRJVB2NE,Boston United 13 Select - Brittany
G13RRJVB3NE,Boston United 13 Select - Gil
G13RRJVB4NE,Boston United 13 Sapphire
G13RRJVB5NE,Boston United 13 Steel
G13SJJVB1NE,SMASH 13s
G13SJJVB2NE,SMASH 13's Thunder
G13SJVBC1NE,South County 13's Stingrays
G13SJVBC2NE,South County 13's Scorpions
G13SJVBC3NE,South County 13's Sharks
G13SOSVB1GE,Sideout 13N Carly
G13SPAVB1XL,Spa City 13 Aqua
G13SURGE1GE,LI Surge 13 Premier Blue
G13SURGE2GE,LI Surge 13 Premier White
G13SURGE3GE,LI Surge 13 2
G13SURGE4GE,LI Surge 13 3
G13TCJVB1NE,Nova 13 Premier Cas
G13TRICO1GE,TriCounty ATTACK 13 1
G13TRICO2GE,TriCounty ATTACK 13 2
G13TTVBC1NE,SLAM 13P Black
G13TTVBC2NE,SLAM 13P Red
G13TTVBC3NE,SLAM 13R White
G13TTVBC4NE,SLAM 13R Grey
G13TTVBC5NE,SLAM 13R Silver
G13TTVBC6NE,SLAM 13R Crimson
G13VERSE1GE,NYC Volley Verse 13 1
G13VERSE2GE,NYC Volley Verse 13 SI
G14112721XX,X2 Volleyball 14 1
G14113231XX,EliteZ 14 GIRLS HP BLACK
G14113232XX,EliteZ 14 GIRLS CARBON
G14113233XX,EliteZ 14 GIRLS SILVER
G14117755XX,ValleyVBC White
G14117971XX,14U BPR 14 1
G14118021XX,NYCLBVC 14U BLUE
G14118022XX,NYCLBVC 14U WHITE
G14119131XX,Millbury Storm 14
G14119491XX,Vale 14 1
G14119501XX,Traprock 14 1
G14APXTC1OV,Apex VBTC 14 Apex Red
G14ATLAN2GE,AVA 14 Premier 1
G14AVVBC1NE,Avidity 14 Ruby
G14AVVBC2NE,Avidity 14 Jade
G14AVVBC3NE,Avidity 14 Emerald
G14BEVNY1GE,BEV 14 Empire
G14BEVNY2GE,BEV 14 Elite
G14BEVNY3GE,BEV 14 Skyline
G14BEVNY4GE,BEV 14 High Rise
G14BVJVB1NE,Blast 14U Jungle Cats
G14BVJVB2NE,Blast 14U Raptors
G14CACLI1GE,CALI 14 Black
G14CACLI4GE,CALI 14 Gold North
G14CACLI5GE,CALI 14 Gold
G14CACLI6GE,CALI 14 Gold South
G14CJJVB1NE,CT Juniors 14 National
G14CJVBA5GE,CJVA 14 Red
G14CJVBA6GE,CJVA 14 Ruby
G14CMJVB1NE,CMASS EDGE 14 Black
G14CMJVB2NE,CMASS EDGE 14 Blue
G14CMJVB3NE,CMASS EDGE 14 White
G14CSJVB1NE,CT STARS 14s Victoria
G14CSJVB2NE,CT STARS 14s Chuk
G14CSJVB3NE,CT STARS 14s Alex
G14DDVBC4NE,Dig Deep 14 Stars
G14DIGSV1GE,Digs 14 RED
G14DIGSV2GE,Digs 14 WHITE
G14DRVBC1NE,Dragons 14 Cleber
G14DRVBC2NE,Dragons 14 Gabby
G14EYNER1NE,ENVY 14 SANDSTORM
G14EYNER2NE,ENVY 14 THUNDER
G14EYNER3NE,ENVY 14 GEOSTORM
G14FGSVA1FL,Gulfside 14U Prime
G14FGSVA2FL,Gulfside 14U Select
G14GAJVB1NE,Gators 14 Black
G14GAJVB2NE,Gators 14 Green
G14GAJVB3NE,Gators 14 White
G14GREEN1GE,Asphalt Green VBC 14-Green
G14GREEN2GE,Asphalt Green VBC 14-White
G14GRVBC1NE,GVC 14-Black
G14GRVBC2NE,GVC 14-Blue
G14HKJVB1NE,Husky 14 National
G14HKJVB2NE,Husky 14 Northeast
G14HKJVB3NE,Husky 14 New England Red
